repeat,fold,C,n,accuracy,precision,recall,f2,pr_auc,tn,fp,fn,tp
1,1,0.1,14,0.6428571428571429,0.6666666666666666,0.75,0.7317073170731707,0.826923076923077,3,3,2,6
1,2,0.1,14,0.6428571428571429,0.7142857142857143,0.625,0.6410256410256411,0.7641254578754579,4,2,3,5
1,3,0.1,14,0.6428571428571429,0.7142857142857143,0.625,0.6410256410256411,0.8073072760572761,4,2,3,5
1,4,0.1,14,0.7142857142857143,0.7,0.875,0.8333333333333334,0.84375,3,3,1,7
1,5,0.1,14,0.5,0.5555555555555556,0.625,0.6097560975609756,0.7225018037518037,2,4,3,5
2,1,0.1,14,0.5714285714285714,0.6666666666666666,0.5,0.5263157894736842,0.729087579087579,4,2,4,4
2,2,0.1,14,0.5714285714285714,0.625,0.625,0.625,0.7425751332001332,3,3,3,5
2,3,0.1,14,0.8571428571428571,0.8,1.0,0.9523809523809523,1.0,4,2,0,8
2,4,0.1,14,0.7142857142857143,0.7,0.875,0.8333333333333334,0.860454822954823,3,3,1,7
2,5,0.1,14,0.5,0.5555555555555556,0.625,0.6097560975609756,0.7162087912087912,2,4,3,5
3,1,0.1,14,0.6428571428571429,0.7142857142857143,0.625,0.6410256410256411,0.7735930735930736,4,2,3,5
3,2,0.1,14,0.6428571428571429,0.7142857142857143,0.625,0.6410256410256411,0.7593614718614718,4,2,3,5
3,3,0.1,14,0.7142857142857143,0.8333333333333334,0.625,0.6578947368421053,0.9085317460317461,5,1,3,5
3,4,0.1,14,0.7142857142857143,0.75,0.75,0.75,0.8005952380952381,4,2,2,6
3,5,0.1,14,0.7142857142857143,0.7,0.875,0.8333333333333334,0.9381313131313131,3,3,1,7
4,1,0.1,14,0.5,0.6,0.375,0.40540540540540543,0.6270156926406927,4,2,5,3
4,2,0.1,14,0.5714285714285714,0.625,0.625,0.625,0.747470238095238,3,3,3,5
4,3,0.1,14,0.5,0.5555555555555556,0.625,0.6097560975609756,0.816693722943723,2,4,3,5
4,4,0.1,14,0.7142857142857143,0.75,0.75,0.75,0.9202741702741702,4,2,2,6
4,5,0.1,14,0.7142857142857143,0.8333333333333334,0.625,0.6578947368421053,0.875545634920635,5,1,3,5
5,1,0.1,14,0.6428571428571429,0.6363636363636364,0.875,0.813953488372093,0.795673076923077,2,4,1,7
5,2,0.1,14,0.6428571428571429,0.6666666666666666,0.75,0.7317073170731707,0.9064685314685315,3,3,2,6
5,3,0.1,14,0.7857142857142857,0.7777777777777778,0.875,0.8536585365853658,0.8711670274170275,4,2,1,7
5,4,0.1,14,0.6428571428571429,0.7142857142857143,0.625,0.6410256410256411,0.604087579087579,4,2,3,5
5,5,0.1,14,0.7142857142857143,0.75,0.75,0.75,0.86875,4,2,2,6
6,1,0.1,14,0.5714285714285714,0.75,0.375,0.4166666666666667,0.7180871212121213,5,1,5,3
6,2,0.1,14,0.7857142857142857,0.8571428571428571,0.75,0.7692307692307693,0.8790178571428572,5,1,2,6
6,3,0.1,14,0.5,0.5714285714285714,0.5,0.5128205128205128,0.7243371212121212,3,3,4,4
6,4,0.1,14,0.7857142857142857,0.7777777777777778,0.875,0.8536585365853658,0.9502840909090909,4,2,1,7
6,5,0.1,14,0.6428571428571429,0.8,0.5,0.5405405405405406,0.7910037878787879,5,1,4,4
7,1,0.1,14,0.7142857142857143,0.7,0.875,0.8333333333333334,0.7398809523809524,3,3,1,7
7,2,0.1,14,0.8571428571428571,0.8,1.0,0.9523809523809523,0.9159722222222222,4,2,0,8
7,3,0.1,14,0.6428571428571429,1.0,0.375,0.42857142857142855,0.8112980769230769,6,0,5,3
7,4,0.1,14,0.6428571428571429,0.6666666666666666,0.75,0.7317073170731707,0.7923430735930737,3,3,2,6
7,5,0.1,14,0.5,0.5714285714285714,0.5,0.5128205128205128,0.7529647435897435,3,3,4,4
8,1,0.1,14,0.5714285714285714,0.6,0.75,0.7142857142857143,0.7326704545454545,2,4,2,6
8,2,0.1,14,0.7142857142857143,0.75,0.75,0.75,0.8928952991452992,4,2,2,6
8,3,0.1,14,0.7142857142857143,0.8333333333333334,0.625,0.6578947368421053,0.8583333333333334,5,1,3,5
8,4,0.1,14,0.5,0.5555555555555556,0.625,0.6097560975609756,0.8029647435897436,2,4,3,5
8,5,0.1,14,0.6428571428571429,0.6666666666666666,0.75,0.7317073170731707,0.7524621212121213,3,3,2,6
9,1,0.1,14,0.7857142857142857,0.8571428571428571,0.75,0.7692307692307693,0.9115936147186148,5,1,2,6
9,2,0.1,14,0.5714285714285714,0.6,0.75,0.7142857142857143,0.8078754578754579,2,4,2,6
9,3,0.1,14,0.7142857142857143,0.7,0.875,0.8333333333333334,0.8057921245421246,3,3,1,7
9,4,0.1,14,0.7142857142857143,0.8333333333333334,0.625,0.6578947368421053,0.9526289682539683,5,1,3,5
9,5,0.1,14,0.5714285714285714,0.6666666666666666,0.5,0.5263157894736842,0.7823072760572761,4,2,4,4
10,1,0.1,14,0.6428571428571429,0.7142857142857143,0.625,0.6410256410256411,0.7031746031746032,4,2,3,5
10,2,0.1,14,0.6428571428571429,0.7142857142857143,0.625,0.6410256410256411,0.8513257575757576,4,2,3,5
10,3,0.1,14,0.7142857142857143,0.6666666666666666,1.0,0.9090909090909091,0.7314484126984128,2,4,0,8
10,4,0.1,14,0.7142857142857143,0.7,0.875,0.8333333333333334,0.9144230769230769,3,3,1,7
10,5,0.1,14,0.6428571428571429,0.7142857142857143,0.625,0.6410256410256411,0.826923076923077,4,2,3,5
