fold,model,accuracy,precision,recall,f2,pr_auc,false_positive_count,false_negative_count,confusion_matrix
1,Hybrid TF-IDF + Transformer,0.75,0.8,0.8,0.8,0.9666666666666667,1,1,"[[2, 1], [1, 4]]"
2,Hybrid TF-IDF + Transformer,0.875,0.8333333333333334,1.0,0.9615384615384616,1.0,1,0,"[[2, 1], [0, 5]]"
3,Hybrid TF-IDF + Transformer,0.875,0.8333333333333334,1.0,0.9615384615384616,0.81,1,0,"[[2, 1], [0, 5]]"
4,Hybrid TF-IDF + Transformer,0.5,0.5714285714285714,0.8,0.7407407407407407,0.7683333333333333,3,1,"[[0, 3], [1, 4]]"
5,Hybrid TF-IDF + Transformer,0.625,0.75,0.6,0.625,0.7226190476190476,1,2,"[[2, 1], [2, 3]]"
6,Hybrid TF-IDF + Transformer,0.75,0.7142857142857143,1.0,0.9259259259259259,0.6295238095238094,2,0,"[[1, 2], [0, 5]]"
7,Hybrid TF-IDF + Transformer,0.5,0.5714285714285714,0.8,0.7407407407407407,0.925,3,1,"[[0, 3], [1, 4]]"
8,Hybrid TF-IDF + Transformer,0.75,0.7142857142857143,1.0,0.9259259259259259,0.9666666666666667,2,0,"[[1, 2], [0, 5]]"
9,Hybrid TF-IDF + Transformer,0.75,0.8,0.8,0.8,0.852857142857143,1,1,"[[2, 1], [1, 4]]"
10,Hybrid TF-IDF + Transformer,0.75,0.8,0.8,0.8,0.9266666666666666,1,1,"[[2, 1], [1, 4]]"
11,Hybrid TF-IDF + Transformer,0.5,0.5714285714285714,0.8,0.7407407407407407,0.6226190476190476,3,1,"[[0, 3], [1, 4]]"
12,Hybrid TF-IDF + Transformer,0.875,0.8333333333333334,1.0,0.9615384615384616,0.9666666666666667,1,0,"[[2, 1], [0, 5]]"
13,Hybrid TF-IDF + Transformer,0.875,0.8333333333333334,1.0,0.9615384615384616,1.0,1,0,"[[2, 1], [0, 5]]"
14,Hybrid TF-IDF + Transformer,0.5,0.5714285714285714,0.8,0.7407407407407407,0.8392857142857143,3,1,"[[0, 3], [1, 4]]"
15,Hybrid TF-IDF + Transformer,0.5,0.6,0.6,0.6,0.5592857142857143,2,2,"[[1, 2], [2, 3]]"
16,Hybrid TF-IDF + Transformer,0.5,0.5714285714285714,0.8,0.7407407407407407,0.925,3,1,"[[0, 3], [1, 4]]"
17,Hybrid TF-IDF + Transformer,0.875,0.8333333333333334,1.0,0.9615384615384616,1.0,1,0,"[[2, 1], [0, 5]]"
18,Hybrid TF-IDF + Transformer,0.625,0.6666666666666666,0.8,0.7692307692307693,0.9028571428571428,2,1,"[[1, 2], [1, 4]]"
19,Hybrid TF-IDF + Transformer,0.625,0.6666666666666666,0.8,0.7692307692307693,0.7783333333333333,2,1,"[[1, 2], [1, 4]]"
20,Hybrid TF-IDF + Transformer,0.625,0.6666666666666666,0.8,0.7692307692307693,0.7416666666666667,2,1,"[[1, 2], [1, 4]]"
21,Hybrid TF-IDF + Transformer,0.875,0.8333333333333334,1.0,0.9615384615384616,1.0,1,0,"[[2, 1], [0, 5]]"
22,Hybrid TF-IDF + Transformer,0.5,0.6666666666666666,0.4,0.43478260869565216,0.7783333333333333,1,3,"[[2, 1], [3, 2]]"
23,Hybrid TF-IDF + Transformer,0.75,0.8,0.8,0.8,0.925,1,1,"[[2, 1], [1, 4]]"
24,Hybrid TF-IDF + Transformer,0.75,0.7142857142857143,1.0,0.9259259259259259,0.852857142857143,2,0,"[[1, 2], [0, 5]]"
25,Hybrid TF-IDF + Transformer,0.625,0.625,1.0,0.8928571428571429,0.925,3,0,"[[0, 3], [0, 5]]"
