fold,model,accuracy,precision,recall,f2,pr_auc,false_positive_count,false_negative_count
1,TF-IDF + Logistic Regression,0.625,0.625,1.0,0.8928571428571429,0.8583333333333333,3,0
1,Transformer Embeddings + Logistic Regression,0.75,0.8,0.8,0.8,0.9666666666666667,1,1
2,TF-IDF + Logistic Regression,0.75,0.7142857142857143,1.0,0.9259259259259259,0.6861904761904762,2,0
2,Transformer Embeddings + Logistic Regression,1.0,1.0,1.0,1.0,1.0,0,0
3,TF-IDF + Logistic Regression,0.625,0.6666666666666666,0.8,0.7692307692307693,0.852857142857143,2,1
3,Transformer Embeddings + Logistic Regression,0.75,0.8,0.8,0.8,0.7861904761904762,1,1
4,TF-IDF + Logistic Regression,0.625,0.6666666666666666,0.8,0.7692307692307693,0.925,2,1
4,Transformer Embeddings + Logistic Regression,0.5,0.5714285714285714,0.8,0.7407407407407407,0.6683333333333333,3,1
5,TF-IDF + Logistic Regression,0.625,0.6666666666666666,0.8,0.7692307692307693,0.7783333333333333,2,1
5,Transformer Embeddings + Logistic Regression,0.5,0.6666666666666666,0.4,0.43478260869565216,0.6416666666666666,1,3
6,TF-IDF + Logistic Regression,0.625,0.625,1.0,0.8928571428571429,0.7392857142857143,3,0
6,Transformer Embeddings + Logistic Regression,0.5,0.6,0.6,0.6,0.6295238095238094,2,2
7,TF-IDF + Logistic Regression,0.625,0.6666666666666666,0.8,0.7692307692307693,0.885,2,1
7,Transformer Embeddings + Logistic Regression,0.625,0.6666666666666666,0.8,0.7692307692307693,0.8083333333333333,2,1
8,TF-IDF + Logistic Regression,0.75,0.7142857142857143,1.0,0.9259259259259259,0.7861904761904762,2,0
8,Transformer Embeddings + Logistic Regression,1.0,1.0,1.0,1.0,1.0,0,0
9,TF-IDF + Logistic Regression,0.625,0.6666666666666666,0.8,0.7692307692307693,0.8583333333333333,2,1
9,Transformer Embeddings + Logistic Regression,0.625,0.75,0.6,0.625,0.9266666666666666,1,2
10,TF-IDF + Logistic Regression,0.5,0.5714285714285714,0.8,0.7407407407407407,0.8392857142857143,3,1
10,Transformer Embeddings + Logistic Regression,0.625,0.75,0.6,0.625,0.8766666666666667,1,2
11,TF-IDF + Logistic Regression,0.625,0.6666666666666666,0.8,0.7692307692307693,0.885,2,1
11,Transformer Embeddings + Logistic Regression,0.5,0.5714285714285714,0.8,0.7407407407407407,0.6226190476190476,3,1
12,TF-IDF + Logistic Regression,0.75,0.7142857142857143,1.0,0.9259259259259259,0.8261904761904763,2,0
12,Transformer Embeddings + Logistic Regression,0.875,1.0,0.8,0.8333333333333334,1.0,0,1
13,TF-IDF + Logistic Regression,0.5,0.5714285714285714,0.8,0.7407407407407407,0.885,3,1
13,Transformer Embeddings + Logistic Regression,0.875,1.0,0.8,0.8333333333333334,1.0,0,1
14,TF-IDF + Logistic Regression,0.625,0.625,1.0,0.8928571428571429,0.8083333333333333,3,0
14,Transformer Embeddings + Logistic Regression,0.75,0.8,0.8,0.8,0.885,1,1
15,TF-IDF + Logistic Regression,0.625,0.75,0.6,0.625,0.6683333333333333,1,2
15,Transformer Embeddings + Logistic Regression,0.5,0.6,0.6,0.6,0.5783333333333334,2,2
16,TF-IDF + Logistic Regression,0.625,0.625,1.0,0.8928571428571429,0.852857142857143,3,0
16,Transformer Embeddings + Logistic Regression,0.625,0.6666666666666666,0.8,0.7692307692307693,0.8583333333333333,2,1
17,TF-IDF + Logistic Regression,0.75,0.7142857142857143,1.0,0.9259259259259259,0.6861904761904762,2,0
17,Transformer Embeddings + Logistic Regression,1.0,1.0,1.0,1.0,1.0,0,0
