fold,model,accuracy,precision,recall,f2,pr_auc,false_positive_count,false_negative_count,confusion_matrix
1,TF-IDF + Logistic Regression,0.6428571428571429,0.6363636363636364,0.875,0.813953488372093,0.795673076923077,4,1,"[[2, 4], [1, 7]]"
1,Transformer Embeddings + Logistic Regression,0.7142857142857143,0.8333333333333334,0.625,0.6578947368421053,0.8727564102564103,1,3,"[[5, 1], [3, 5]]"
1,Hybrid TF-IDF + Transformer,0.7142857142857143,0.8333333333333334,0.625,0.6578947368421053,0.896565934065934,1,3,"[[5, 1], [3, 5]]"
2,TF-IDF + Logistic Regression,0.7142857142857143,0.7,0.875,0.8333333333333334,0.8571810134310134,3,1,"[[3, 3], [1, 7]]"
2,Transformer Embeddings + Logistic Regression,0.7857142857142857,0.7777777777777778,0.875,0.8536585365853658,0.8790178571428572,2,1,"[[4, 2], [1, 7]]"
2,Hybrid TF-IDF + Transformer,0.7857142857142857,0.7777777777777778,0.875,0.8536585365853658,0.8790178571428572,2,1,"[[4, 2], [1, 7]]"
3,TF-IDF + Logistic Regression,0.6428571428571429,0.6363636363636364,0.875,0.813953488372093,0.843452380952381,4,1,"[[2, 4], [1, 7]]"
3,Transformer Embeddings + Logistic Regression,0.6428571428571429,0.6666666666666666,0.75,0.7317073170731707,0.6938988095238096,3,2,"[[3, 3], [2, 6]]"
3,Hybrid TF-IDF + Transformer,0.7142857142857143,0.7,0.875,0.8333333333333334,0.7279647435897436,3,1,"[[3, 3], [1, 7]]"
4,TF-IDF + Logistic Regression,0.7857142857142857,0.7777777777777778,0.875,0.8536585365853658,0.8470619658119658,2,1,"[[4, 2], [1, 7]]"
4,Transformer Embeddings + Logistic Regression,0.6428571428571429,0.6666666666666666,0.75,0.7317073170731707,0.7287202380952381,3,2,"[[3, 3], [2, 6]]"
4,Hybrid TF-IDF + Transformer,0.7142857142857143,0.7,0.875,0.8333333333333334,0.7287202380952381,3,1,"[[3, 3], [1, 7]]"
5,TF-IDF + Logistic Regression,0.5,0.5714285714285714,0.5,0.5128205128205128,0.7874323593073593,3,4,"[[3, 3], [4, 4]]"
5,Transformer Embeddings + Logistic Regression,0.7857142857142857,1.0,0.625,0.6756756756756757,0.9159722222222222,0,3,"[[6, 0], [3, 5]]"
5,Hybrid TF-IDF + Transformer,0.7857142857142857,1.0,0.625,0.6756756756756757,0.932426948051948,0,3,"[[6, 0], [3, 5]]"
6,TF-IDF + Logistic Regression,0.5,0.5555555555555556,0.625,0.6097560975609756,0.7354978354978354,4,3,"[[2, 4], [3, 5]]"
6,Transformer Embeddings + Logistic Regression,0.5,0.5714285714285714,0.5,0.5128205128205128,0.747470238095238,3,4,"[[3, 3], [4, 4]]"
6,Hybrid TF-IDF + Transformer,0.7142857142857143,0.75,0.75,0.75,0.769047619047619,2,2,"[[4, 2], [2, 6]]"
7,TF-IDF + Logistic Regression,0.7142857142857143,0.75,0.75,0.75,0.9208333333333334,2,2,"[[4, 2], [2, 6]]"
7,Transformer Embeddings + Logistic Regression,0.7142857142857143,0.8333333333333334,0.625,0.6578947368421053,0.8607954545454546,1,3,"[[5, 1], [3, 5]]"
7,Hybrid TF-IDF + Transformer,0.7142857142857143,0.8333333333333334,0.625,0.6578947368421053,0.895021645021645,1,3,"[[5, 1], [3, 5]]"
8,TF-IDF + Logistic Regression,0.7857142857142857,0.7777777777777778,0.875,0.8536585365853658,0.9062881562881563,2,1,"[[4, 2], [1, 7]]"
8,Transformer Embeddings + Logistic Regression,0.5714285714285714,0.625,0.625,0.625,0.6892857142857143,3,3,"[[3, 3], [3, 5]]"
8,Hybrid TF-IDF + Transformer,0.5714285714285714,0.625,0.625,0.625,0.6892857142857143,3,3,"[[3, 3], [3, 5]]"
9,TF-IDF + Logistic Regression,0.35714285714285715,0.4444444444444444,0.5,0.4878048780487805,0.7637362637362637,5,4,"[[1, 5], [4, 4]]"
9,Transformer Embeddings + Logistic Regression,0.6428571428571429,0.6666666666666666,0.75,0.7317073170731707,0.8507326007326007,3,2,"[[3, 3], [2, 6]]"
9,Hybrid TF-IDF + Transformer,0.6428571428571429,0.6666666666666666,0.75,0.7317073170731707,0.838474025974026,3,2,"[[3, 3], [2, 6]]"
10,TF-IDF + Logistic Regression,0.7142857142857143,0.7,0.875,0.8333333333333334,0.9659090909090909,3,1,"[[3, 3], [1, 7]]"
10,Transformer Embeddings + Logistic Regression,0.9285714285714286,0.8888888888888888,1.0,0.975609756097561,1.0,1,0,"[[5, 1], [0, 8]]"
10,Hybrid TF-IDF + Transformer,1.0,1.0,1.0,1.0,1.0,0,0,"[[6, 0], [0, 8]]"
11,TF-IDF + Logistic Regression,0.6428571428571429,0.6666666666666666,0.75,0.7317073170731707,0.8200757575757576,3,2,"[[3, 3], [2, 6]]"
11,Transformer Embeddings + Logistic Regression,0.6428571428571429,0.6666666666666666,0.75,0.7317073170731707,0.5904626623376624,3,2,"[[3, 3], [2, 6]]"
11,Hybrid TF-IDF + Transformer,0.6428571428571429,0.6666666666666666,0.75,0.7317073170731707,0.6739448051948053,3,2,"[[3, 3], [2, 6]]"
12,TF-IDF + Logistic Regression,0.7857142857142857,0.7777777777777778,0.875,0.8536585365853658,0.9519230769230769,2,1,"[[4, 2], [1, 7]]"
