report_id,lsr_candidate,evidence_count
industrial_safety_000013,Safe Mechanical Lifting,1
industrial_safety_000033,Line of Fire,1
industrial_safety_000033,Work at Height,1
industrial_safety_000076,Work at Height,1
industrial_safety_000077,Confined Space,1
industrial_safety_000095,Work at Height,2
industrial_safety_000100,Work at Height,2
industrial_safety_000103,Work at Height,1
industrial_safety_000115,Safe Mechanical Lifting,1
industrial_safety_000119,Work at Height,1
industrial_safety_000136,Driving,1
industrial_safety_000169,Work at Height,2
industrial_safety_000190,Chemical Exposure,1
industrial_safety_000197,Hot Work,1
industrial_safety_000219,Work at Height,1
industrial_safety_000236,Work at Height,1
industrial_safety_000259,Work at Height,1
industrial_safety_000297,Work at Height,1
industrial_safety_000297,Driving,1
industrial_safety_000312,Line of Fire,1
industrial_safety_000314,Work at Height,1
industrial_safety_000321,Work at Height,1
industrial_safety_000323,Driving,1
industrial_safety_000331,Work at Height,1
industrial_safety_000338,Work at Height,1
industrial_safety_000361,Driving,2
industrial_safety_000364,Driving,2
industrial_safety_000371,Work at Height,1
industrial_safety_000372,Line of Fire,1
industrial_safety_000373,Work at Height,1
industrial_safety_000382,Confined Space,1
industrial_safety_000384,Isolation,1
industrial_safety_000384,Work at Height,1
industrial_safety_000385,Isolation,1
industrial_safety_000385,Hot Work,1
industrial_safety_000389,Work at Height,1
industrial_safety_000410,Work at Height,1
industrial_safety_000410,Safe Mechanical Lifting,1
industrial_safety_000420,Driving,2
industrial_safety_000422,Line of Fire,1
industrial_safety_000422,Safe Mechanical Lifting,1
industrial_safety_000426,Driving,1
