report_id,mechanism_count,exposure_evidence_count,barrier_signal_count,lsr_count
industrial_safety_000013,1,1,0,1
industrial_safety_000025,1,1,0,0
industrial_safety_000033,2,2,0,2
industrial_safety_000034,0,0,0,0
industrial_safety_000072,0,0,0,0
industrial_safety_000074,0,0,0,0
industrial_safety_000075,1,1,0,0
industrial_safety_000076,1,1,0,1
industrial_safety_000077,1,1,0,1
industrial_safety_000082,0,0,0,0
industrial_safety_000095,1,2,0,1
industrial_safety_000100,1,2,0,1
industrial_safety_000103,2,2,0,1
industrial_safety_000108,0,0,0,0
industrial_safety_000112,0,0,0,0
industrial_safety_000115,1,1,0,1
industrial_safety_000119,2,2,0,1
industrial_safety_000135,1,1,0,0
industrial_safety_000136,1,1,0,1
industrial_safety_000140,1,1,0,0
industrial_safety_000145,0,0,0,0
industrial_safety_000166,2,2,0,0
industrial_safety_000169,3,5,0,1
industrial_safety_000187,1,1,0,0
industrial_safety_000190,1,1,0,1
industrial_safety_000197,0,0,0,1
industrial_safety_000198,1,1,0,0
industrial_safety_000210,0,0,0,0
industrial_safety_000219,1,1,0,1
industrial_safety_000222,1,1,0,0
industrial_safety_000232,0,0,0,0
industrial_safety_000236,1,1,0,1
industrial_safety_000239,0,0,0,0
industrial_safety_000250,2,2,0,0
industrial_safety_000259,1,1,0,1
industrial_safety_000264,1,1,0,0
industrial_safety_000272,0,0,0,0
industrial_safety_000284,1,1,0,0
industrial_safety_000289,1,1,0,0
industrial_safety_000297,1,1,0,2
industrial_safety_000298,0,0,0,0
industrial_safety_000312,1,1,0,1
industrial_safety_000314,1,1,0,1
industrial_safety_000321,2,2,0,1
industrial_safety_000323,1,1,0,1
industrial_safety_000331,1,1,0,1
industrial_safety_000332,0,0,0,0
industrial_safety_000337,0,0,1,0
industrial_safety_000338,1,1,0,1
industrial_safety_000342,1,1,0,0
industrial_safety_000346,0,0,0,0
industrial_safety_000361,1,2,0,1
industrial_safety_000364,1,2,0,1
industrial_safety_000370,1,1,0,0
industrial_safety_000371,2,2,0,1
industrial_safety_000372,2,3,1,1
industrial_safety_000373,1,1,0,1
industrial_safety_000374,0,0,0,0
industrial_safety_000382,0,0,0,1
industrial_safety_000383,0,0,0,0
industrial_safety_000384,2,3,0,2
industrial_safety_000385,1,2,0,2
industrial_safety_000389,1,1,0,1
industrial_safety_000393,0,0,0,0
industrial_safety_000401,0,0,0,0
industrial_safety_000403,1,1,0,0
industrial_safety_000410,2,2,0,2
industrial_safety_000420,1,2,0,1
industrial_safety_000422,2,2,0,2
industrial_safety_000426,1,2,0,1
