representation,fold,n,accuracy,precision,recall,f2,pr_auc,tn,fp,fn,tp
transformer_only,1,14,0.5714285714285714,0.6666666666666666,0.5,0.5263157894736842,0.7457993395493396,4,2,4,4
transformer_only,2,14,0.7142857142857143,0.75,0.75,0.75,0.8106150793650795,4,2,2,6
transformer_only,3,14,0.7142857142857143,0.75,0.75,0.75,0.7072781385281386,4,2,2,6
transformer_only,4,14,0.5714285714285714,0.625,0.625,0.625,0.6790990259740259,3,3,3,5
transformer_only,5,14,0.6428571428571429,0.6666666666666666,0.75,0.7317073170731707,0.8288690476190477,3,3,2,6
transformer_only,6,14,0.6428571428571429,0.7142857142857143,0.625,0.6410256410256411,0.6874209124209124,4,2,3,5
transformer_only,7,14,0.6428571428571429,0.7142857142857143,0.625,0.6410256410256411,0.6520042457542458,4,2,3,5
transformer_only,8,14,0.5714285714285714,0.625,0.625,0.625,0.7311709124209125,3,3,3,5
transformer_only,9,14,0.8571428571428571,0.875,0.875,0.875,0.8553436147186148,5,1,1,7
transformer_only,10,14,0.5714285714285714,0.625,0.625,0.625,0.6605654761904762,3,3,3,5
transformer_only,11,14,0.5714285714285714,0.625,0.625,0.625,0.5311823593073592,3,3,3,5
transformer_only,12,14,0.5714285714285714,0.6,0.75,0.7142857142857143,0.7279963092463092,2,4,2,6
transformer_only,13,14,0.5714285714285714,0.6666666666666666,0.5,0.5263157894736842,0.8197781385281386,4,2,4,4
transformer_only,14,14,0.6428571428571429,0.6666666666666666,0.75,0.7317073170731707,0.8887362637362637,3,3,2,6
transformer_only,15,14,0.7857142857142857,0.7777777777777778,0.875,0.8536585365853658,0.6350198412698412,4,2,1,7
transformer_only,16,14,0.7857142857142857,0.8571428571428571,0.75,0.7692307692307693,0.9704861111111112,5,1,2,6
transformer_only,17,14,0.35714285714285715,0.4444444444444444,0.5,0.4878048780487805,0.6812770562770563,1,5,4,4
transformer_only,18,14,0.6428571428571429,0.7142857142857143,0.625,0.6410256410256411,0.8635912698412698,4,2,3,5
transformer_only,19,14,0.5,0.5714285714285714,0.5,0.5128205128205128,0.6935221028971028,3,3,4,4
