representation,repeat,fold,n,accuracy,precision,recall,f2,pr_auc,tn,fp,fn,tp
transformer_only,1,1,14,0.7142857142857143,0.7,0.875,0.8333333333333334,0.6654647435897436,3,3,1,7
transformer_only,1,2,14,0.5,0.5714285714285714,0.5,0.5128205128205128,0.6554268648018649,3,3,4,4
transformer_only,1,3,14,0.6428571428571429,0.7142857142857143,0.625,0.6410256410256411,0.8021645021645022,4,2,3,5
transformer_only,1,4,14,0.7142857142857143,0.7,0.875,0.8333333333333334,0.7752976190476191,3,3,1,7
transformer_only,1,5,14,0.5,0.5555555555555556,0.625,0.6097560975609756,0.6186889499389499,2,4,3,5
transformer_only,2,1,14,0.5,0.6,0.375,0.40540540540540543,0.6938311688311688,4,2,5,3
transformer_only,2,2,14,0.42857142857142855,0.5,0.5,0.5,0.7249660062160063,2,4,4,4
transformer_only,2,3,14,0.7857142857142857,0.7777777777777778,0.875,0.8536585365853658,0.9472222222222222,4,2,1,7
transformer_only,2,4,14,0.7142857142857143,0.7,0.875,0.8333333333333334,0.7872023809523809,3,3,1,7
transformer_only,2,5,14,0.5,0.5555555555555556,0.625,0.6097560975609756,0.6938311688311688,2,4,3,5
transformer_only,3,1,14,0.5714285714285714,0.6666666666666666,0.5,0.5263157894736842,0.7985930735930736,4,2,4,4
transformer_only,3,2,14,0.5714285714285714,0.625,0.625,0.625,0.7252840909090909,3,3,3,5
transformer_only,3,3,14,0.6428571428571429,0.8,0.5,0.5405405405405406,0.8720619658119658,5,1,4,4
transformer_only,3,4,14,0.5714285714285714,0.6,0.75,0.7142857142857143,0.732224025974026,2,4,2,6
transformer_only,3,5,14,0.7142857142857143,0.7,0.875,0.8333333333333334,0.8614448051948053,3,3,1,7
transformer_only,4,1,14,0.5714285714285714,0.6666666666666666,0.5,0.5263157894736842,0.740625,4,2,4,4
transformer_only,4,2,14,0.5714285714285714,0.625,0.625,0.625,0.6598099816849817,3,3,3,5
transformer_only,4,3,14,0.42857142857142855,0.5,0.625,0.5952380952380952,0.8073072760572761,1,5,3,5
transformer_only,4,4,14,0.6428571428571429,0.7142857142857143,0.625,0.6410256410256411,0.8701388888888889,4,2,3,5
transformer_only,4,5,14,0.7142857142857143,0.8333333333333334,0.625,0.6578947368421053,0.7589285714285715,5,1,3,5
transformer_only,5,1,14,0.5714285714285714,0.5833333333333334,0.875,0.7954545454545454,0.7662087912087913,1,5,1,7
transformer_only,5,2,14,0.6428571428571429,0.6666666666666666,0.75,0.7317073170731707,0.8328754578754579,3,3,2,6
transformer_only,5,3,14,0.7857142857142857,0.7777777777777778,0.875,0.8536585365853658,0.7795003607503608,4,2,1,7
transformer_only,5,4,14,0.5714285714285714,0.6666666666666666,0.5,0.5263157894736842,0.6370421245421245,4,2,4,4
transformer_only,5,5,14,0.7142857142857143,0.75,0.75,0.75,0.8197781385281386,4,2,2,6
transformer_only,6,1,14,0.5714285714285714,0.75,0.375,0.4166666666666667,0.697849025974026,5,1,5,3
transformer_only,6,2,14,0.7142857142857143,0.8333333333333334,0.625,0.6578947368421053,0.8571428571428571,5,1,3,5
transformer_only,6,3,14,0.6428571428571429,0.7142857142857143,0.625,0.6410256410256411,0.6104978354978354,4,2,3,5
transformer_only,6,4,14,0.7142857142857143,0.7,0.875,0.8333333333333334,0.9115936147186148,3,3,1,7
transformer_only,6,5,14,0.6428571428571429,0.8,0.5,0.5405405405405406,0.7597537878787879,5,1,4,4
transformer_only,7,1,14,0.5714285714285714,0.625,0.625,0.625,0.6327266483516484,3,3,3,5
transformer_only,7,2,14,0.8571428571428571,0.8,1.0,0.9523809523809523,0.8073412698412699,4,2,0,8
transformer_only,7,3,14,0.6428571428571429,1.0,0.375,0.42857142857142855,0.8189685314685314,6,0,5,3
transformer_only,7,4,14,0.5714285714285714,0.625,0.625,0.625,0.6836309523809524,3,3,3,5
transformer_only,7,5,14,0.5714285714285714,0.625,0.625,0.625,0.648798076923077,3,3,3,5
transformer_only,8,1,14,0.5714285714285714,0.6,0.75,0.7142857142857143,0.6582656926406927,2,4,2,6
