representation,C,repeat,fold,accuracy,precision,recall,f2,pr_auc,tn,fp,fn,tp
precursor_structured,0.5,1,1,0.5,0.5714285714285714,0.5,0.5128205128205128,0.7225018037518037,3,3,4,4
precursor_structured,0.5,1,2,0.6428571428571429,0.7142857142857143,0.625,0.6410256410256411,0.8593073593073592,4,2,3,5
precursor_structured,0.5,1,3,0.5714285714285714,0.625,0.625,0.625,0.6737959956709958,3,3,3,5
precursor_structured,0.5,1,4,0.5714285714285714,0.625,0.625,0.625,0.7752976190476191,3,3,3,5
precursor_structured,0.5,1,5,0.5714285714285714,0.625,0.625,0.625,0.6757898351648352,3,3,3,5
precursor_structured,0.5,2,1,0.42857142857142855,0.5,0.125,0.14705882352941177,0.5876803751803752,5,1,7,1
precursor_structured,0.5,2,2,0.7142857142857143,0.8333333333333334,0.625,0.6578947368421053,0.8910714285714285,5,1,3,5
precursor_structured,0.5,2,3,0.7857142857142857,1.0,0.625,0.6756756756756757,0.9129464285714286,6,0,3,5
precursor_structured,0.5,2,4,0.7857142857142857,0.7777777777777778,0.875,0.8536585365853658,0.9659090909090909,4,2,1,7
precursor_structured,0.5,2,5,0.7142857142857143,0.8333333333333334,0.625,0.6578947368421053,0.8068452380952381,5,1,3,5
precursor_structured,0.5,3,1,0.5714285714285714,1.0,0.25,0.29411764705882354,0.7101648351648352,6,0,6,2
precursor_structured,0.5,3,2,0.5,0.5714285714285714,0.5,0.5128205128205128,0.6760687229437229,3,3,4,4
precursor_structured,0.5,3,3,0.7857142857142857,1.0,0.625,0.6756756756756757,0.8816287878787878,6,0,3,5
precursor_structured,0.5,3,4,0.7142857142857143,0.75,0.75,0.75,0.7805555555555556,4,2,2,6
precursor_structured,0.5,3,5,0.7857142857142857,0.8571428571428571,0.75,0.7692307692307693,0.9427083333333333,5,1,2,6
precursor_structured,0.5,4,1,0.42857142857142855,0.5,0.5,0.5,0.6680215617715618,2,4,4,4
precursor_structured,0.5,4,2,0.7857142857142857,1.0,0.625,0.6756756756756757,0.8831730769230769,6,0,3,5
precursor_structured,0.5,4,3,0.5,0.5714285714285714,0.5,0.5128205128205128,0.7819715007215007,3,3,4,4
precursor_structured,0.5,4,4,0.5714285714285714,0.625,0.625,0.625,0.7517857142857143,3,3,3,5
precursor_structured,0.5,4,5,0.6428571428571429,0.6666666666666666,0.75,0.7317073170731707,0.9128787878787878,3,3,2,6
