feature,coefficient,direction
projectile_release,0.610634,SIF_POSITIVE
barrier_count,0.37547,SIF_POSITIVE
hazard_sharp_object,-0.325008,SIF_NEGATIVE
hazard_ground,0.282586,SIF_POSITIVE
exposure_caught_between,0.262478,SIF_POSITIVE
activity_count,0.238571,SIF_POSITIVE
hazard_biological,-0.216955,SIF_NEGATIVE
hazard_pressure,0.166599,SIF_POSITIVE
hazard_dropped_object,0.161492,SIF_POSITIVE
ix_mechanical_guard_gap,-0.152349,SIF_NEGATIVE
body_arm_in_narrative,-0.144589,SIF_NEGATIVE
current_max_a,0.132487,SIF_POSITIVE
exposure_count,0.12443,SIF_POSITIVE
potential_severe_entanglement,0.06809,SIF_POSITIVE
potential_severe_projectile,0.052425,SIF_POSITIVE
ppe_absence_signal,0.048107,SIF_POSITIVE
hazard_mechanical,0.022525,SIF_POSITIVE
ix_chemical_exposure,-0.007777,SIF_NEGATIVE
potential_severe_vehicle,-0.000336,SIF_NEGATIVE
hazard_electrical,0.0,SIF_NEGATIVE
hazard_chemical,0.0,SIF_NEGATIVE
hazard_thermal,0.0,SIF_NEGATIVE
hazard_fire_explosion,0.0,SIF_NEGATIVE
hazard_vehicle,0.0,SIF_NEGATIVE
hazard_fall_height,0.0,SIF_NEGATIVE
hazard_caught_between,0.0,SIF_NEGATIVE
hazard_slip_trip,0.0,SIF_NEGATIVE
exposure_direct_contact,0.0,SIF_NEGATIVE
exposure_line_of_fire,0.0,SIF_NEGATIVE
exposure_fall,0.0,SIF_NEGATIVE
exposure_chemical,0.0,SIF_NEGATIVE
exposure_thermal,0.0,SIF_NEGATIVE
exposure_electrical,0.0,SIF_NEGATIVE
exposure_vehicle,0.0,SIF_NEGATIVE
actual_fatality,0.0,SIF_NEGATIVE
actual_electrical_injury,0.0,SIF_NEGATIVE
actual_crush_amputation,0.0,SIF_NEGATIVE
actual_burn_thermal,0.0,SIF_NEGATIVE
actual_chemical_injury,0.0,SIF_NEGATIVE
actual_cut_laceration,0.0,SIF_NEGATIVE
actual_impact,0.0,SIF_NEGATIVE
actual_fall_injury,0.0,SIF_NEGATIVE
actual_facial_injury,0.0,SIF_NEGATIVE
actual_musculoskeletal,0.0,SIF_NEGATIVE
actual_minor_irritation,0.0,SIF_NEGATIVE
potential_severe_electrical,0.0,SIF_NEGATIVE
potential_severe_caught_between,0.0,SIF_NEGATIVE
potential_severe_fall,0.0,SIF_NEGATIVE
potential_severe_chemical,0.0,SIF_NEGATIVE
potential_severe_thermal,0.0,SIF_NEGATIVE
barrier_ppe_present,0.0,SIF_NEGATIVE
barrier_ppe_failed,0.0,SIF_NEGATIVE
barrier_guard_present,0.0,SIF_NEGATIVE
barrier_guard_failed,0.0,SIF_NEGATIVE
barrier_isolation_present,0.0,SIF_NEGATIVE
barrier_isolation_failed,0.0,SIF_NEGATIVE
barrier_deenergization_present,0.0,SIF_NEGATIVE
barrier_deenergization_failed,0.0,SIF_NEGATIVE
barrier_fall_protection_present,0.0,SIF_NEGATIVE
barrier_fall_protection_failed,0.0,SIF_NEGATIVE
barrier_exclusion_present,0.0,SIF_NEGATIVE
barrier_exclusion_failed,0.0,SIF_NEGATIVE
barrier_procedure_present,0.0,SIF_NEGATIVE
barrier_procedure_failed,0.0,SIF_NEGATIVE
barrier_emergency_detection_present,0.0,SIF_NEGATIVE
barrier_emergency_detection_failed,0.0,SIF_NEGATIVE
narrative_chars,0.0,SIF_NEGATIVE
narrative_words,0.0,SIF_NEGATIVE
hazard_count,0.0,SIF_NEGATIVE
actual_consequence_count,0.0,SIF_NEGATIVE
potential_consequence_count,0.0,SIF_NEGATIVE
human_actor_present,0.0,SIF_NEGATIVE
fatality_language,0.0,SIF_NEGATIVE
