variant,model,threshold,train_f2_at_0.5,validation_f2,validation_precision,validation_recall,test_accuracy,test_precision,test_recall,test_f2,test_pr_auc,test_fp,test_fn,test_tp,test_tn
full_structured,l1_logistic_C_0.10,0.2,0.8602,0.8824,0.6,1.0,0.6842,0.6842,1.0,0.9155,0.6842,6,0,13,0
full_structured,l1_logistic_C_0.50,0.32,0.9494,0.9375,0.75,1.0,0.6842,0.7692,0.7692,0.7692,0.7528,3,3,10,3
full_structured,l1_logistic_C_1.00,0.205,1.0,0.9231,0.7059,1.0,0.6842,0.7333,0.8462,0.8209,0.7542,4,2,11,2
full_structured,l2_logistic_C_0.50,0.25,1.0,0.8065,0.7143,0.8333,0.8421,0.8571,0.9231,0.9091,0.8494,2,1,12,4
full_structured,random_forest,0.4,0.8974,0.9231,0.7059,1.0,0.6842,0.8182,0.6923,0.7143,0.8103,2,4,9,4
mechanism_only,l1_logistic_C_0.10,0.2,0.8602,0.8824,0.6,1.0,0.6842,0.6842,1.0,0.9155,0.6842,6,0,13,0
mechanism_only,l1_logistic_C_0.50,0.275,0.9494,0.9375,0.75,1.0,0.8421,0.8125,1.0,0.9559,0.7642,3,0,13,3
mechanism_only,l1_logistic_C_1.00,0.2,1.0,0.9375,0.75,1.0,0.7368,0.7857,0.8462,0.8333,0.7765,3,2,11,3
mechanism_only,l2_logistic_C_0.50,0.215,1.0,0.8594,0.6875,0.9167,0.8421,0.8571,0.9231,0.9091,0.9129,2,1,12,4
mechanism_only,random_forest,0.45,0.9494,0.9016,0.8462,0.9167,0.6316,0.8,0.6154,0.6452,0.8732,2,5,8,4
