threshold,precision,recall,f2,false_positive_count,false_negative_count,model
0.2,0.5714285714285714,1.0,0.8695652173913043,30,0,TF-IDF + Logistic Regression
0.21,0.5714285714285714,1.0,0.8695652173913043,30,0,TF-IDF + Logistic Regression
0.22,0.5714285714285714,1.0,0.8695652173913043,30,0,TF-IDF + Logistic Regression
0.23,0.5714285714285714,1.0,0.8695652173913043,30,0,TF-IDF + Logistic Regression
0.24,0.5714285714285714,1.0,0.8695652173913043,30,0,TF-IDF + Logistic Regression
0.25,0.5714285714285714,1.0,0.8695652173913043,30,0,TF-IDF + Logistic Regression
0.26,0.5714285714285714,1.0,0.8695652173913043,30,0,TF-IDF + Logistic Regression
0.27,0.5714285714285714,1.0,0.8695652173913043,30,0,TF-IDF + Logistic Regression
0.28,0.5714285714285714,1.0,0.8695652173913043,30,0,TF-IDF + Logistic Regression
0.29,0.5714285714285714,1.0,0.8695652173913043,30,0,TF-IDF + Logistic Regression
0.3,0.5714285714285714,1.0,0.8695652173913043,30,0,TF-IDF + Logistic Regression
0.31,0.5714285714285714,1.0,0.8695652173913043,30,0,TF-IDF + Logistic Regression
0.32,0.5714285714285714,1.0,0.8695652173913043,30,0,TF-IDF + Logistic Regression
0.33,0.5714285714285714,1.0,0.8695652173913043,30,0,TF-IDF + Logistic Regression
0.34,0.5714285714285714,1.0,0.8695652173913043,30,0,TF-IDF + Logistic Regression
0.35,0.5714285714285714,1.0,0.8695652173913043,30,0,TF-IDF + Logistic Regression
0.36,0.5714285714285714,1.0,0.8695652173913043,30,0,TF-IDF + Logistic Regression
0.37,0.5714285714285714,1.0,0.8695652173913043,30,0,TF-IDF + Logistic Regression
0.38,0.5714285714285714,1.0,0.8695652173913043,30,0,TF-IDF + Logistic Regression
0.39,0.5714285714285714,1.0,0.8695652173913043,30,0,TF-IDF + Logistic Regression
0.4,0.5714285714285714,1.0,0.8695652173913043,30,0,TF-IDF + Logistic Regression
0.41,0.5714285714285714,1.0,0.8695652173913043,30,0,TF-IDF + Logistic Regression
0.42,0.5652173913043478,0.975,0.851528384279476,30,1,TF-IDF + Logistic Regression
0.43,0.5652173913043478,0.975,0.851528384279476,30,1,TF-IDF + Logistic Regression
0.44,0.5652173913043478,0.975,0.851528384279476,30,1,TF-IDF + Logistic Regression
0.45,0.5652173913043478,0.975,0.851528384279476,30,1,TF-IDF + Logistic Regression
0.46,0.5909090909090909,0.975,0.8628318584070797,27,1,TF-IDF + Logistic Regression
0.47,0.6129032258064516,0.95,0.8558558558558559,24,2,TF-IDF + Logistic Regression
0.48,0.6229508196721312,0.95,0.8597285067873304,23,2,TF-IDF + Logistic Regression
0.49,0.6727272727272727,0.925,0.8604651162790697,18,3,TF-IDF + Logistic Regression
0.5,0.6521739130434783,0.75,0.7281553398058253,16,10,TF-IDF + Logistic Regression
0.51,0.7222222222222222,0.65,0.6632653061224489,10,14,TF-IDF + Logistic Regression
0.52,0.8571428571428571,0.6,0.6382978723404256,4,16,TF-IDF + Logistic Regression
0.53,0.8695652173913043,0.5,0.546448087431694,3,20,TF-IDF + Logistic Regression
0.54,0.8125,0.325,0.3693181818181818,3,27,TF-IDF + Logistic Regression
0.55,1.0,0.275,0.3216374269005848,0,29,TF-IDF + Logistic Regression
0.56,1.0,0.075,0.09202453987730061,0,37,TF-IDF + Logistic Regression
0.57,1.0,0.05,0.06172839506172839,0,38,TF-IDF + Logistic Regression
0.58,1.0,0.05,0.06172839506172839,0,38,TF-IDF + Logistic Regression
0.59,1.0,0.05,0.06172839506172839,0,38,TF-IDF + Logistic Regression
0.6,1.0,0.025,0.031055900621118012,0,39,TF-IDF + Logistic Regression
0.61,0.0,0.0,0.0,0,40,TF-IDF + Logistic Regression
0.62,0.0,0.0,0.0,0,40,TF-IDF + Logistic Regression
0.63,0.0,0.0,0.0,0,40,TF-IDF + Logistic Regression
0.64,0.0,0.0,0.0,0,40,TF-IDF + Logistic Regression
0.65,0.0,0.0,0.0,0,40,TF-IDF + Logistic Regression
0.66,0.0,0.0,0.0,0,40,TF-IDF + Logistic Regression
0.67,0.0,0.0,0.0,0,40,TF-IDF + Logistic Regression
0.68,0.0,0.0,0.0,0,40,TF-IDF + Logistic Regression
0.69,0.0,0.0,0.0,0,40,TF-IDF + Logistic Regression
0.7,0.0,0.0,0.0,0,40,TF-IDF + Logistic Regression
0.71,0.0,0.0,0.0,0,40,TF-IDF + Logistic Regression
0.72,0.0,0.0,0.0,0,40,TF-IDF + Logistic Regression
0.73,0.0,0.0,0.0,0,40,TF-IDF + Logistic Regression
0.74,0.0,0.0,0.0,0,40,TF-IDF + Logistic Regression
0.75,0.0,0.0,0.0,0,40,TF-IDF + Logistic Regression
0.76,0.0,0.0,0.0,0,40,TF-IDF + Logistic Regression
0.77,0.0,0.0,0.0,0,40,TF-IDF + Logistic Regression
0.78,0.0,0.0,0.0,0,40,TF-IDF + Logistic Regression
0.79,0.0,0.0,0.0,0,40,TF-IDF + Logistic Regression
0.8,0.0,0.0,0.0,0,40,TF-IDF + Logistic Regression
0.2,0.5714285714285714,1.0,0.8695652173913043,30,0,Transformer Embeddings + Logistic Regression
0.21,0.5714285714285714,1.0,0.8695652173913043,30,0,Transformer Embeddings + Logistic Regression
0.22,0.5714285714285714,1.0,0.8695652173913043,30,0,Transformer Embeddings + Logistic Regression
0.23,0.5714285714285714,1.0,0.8695652173913043,30,0,Transformer Embeddings + Logistic Regression
0.24,0.5714285714285714,1.0,0.8695652173913043,30,0,Transformer Embeddings + Logistic Regression
0.25,0.5714285714285714,1.0,0.8695652173913043,30,0,Transformer Embeddings + Logistic Regression
0.26,0.5714285714285714,1.0,0.8695652173913043,30,0,Transformer Embeddings + Logistic Regression
0.27,0.5882352941176471,1.0,0.8771929824561403,28,0,Transformer Embeddings + Logistic Regression
0.28,0.6060606060606061,1.0,0.8849557522123894,26,0,Transformer Embeddings + Logistic Regression
0.29,0.6153846153846154,1.0,0.8888888888888888,25,0,Transformer Embeddings + Logistic Regression
0.3,0.6153846153846154,1.0,0.8888888888888888,25,0,Transformer Embeddings + Logistic Regression
0.31,0.6153846153846154,1.0,0.8888888888888888,25,0,Transformer Embeddings + Logistic Regression
0.32,0.625,1.0,0.8928571428571429,24,0,Transformer Embeddings + Logistic Regression
0.33,0.6349206349206349,1.0,0.8968609865470852,23,0,Transformer Embeddings + Logistic Regression
0.34,0.6290322580645161,0.975,0.8783783783783784,23,1,Transformer Embeddings + Logistic Regression
0.35,0.6229508196721312,0.95,0.8597285067873304,23,2,Transformer Embeddings + Logistic Regression
0.36,0.6440677966101694,0.95,0.867579908675799,21,2,Transformer Embeddings + Logistic Regression
0.37,0.6666666666666666,0.95,0.8755760368663594,19,2,Transformer Embeddings + Logistic Regression
0.38,0.6666666666666666,0.95,0.8755760368663594,19,2,Transformer Embeddings + Logistic Regression
0.39,0.6727272727272727,0.925,0.8604651162790697,18,3,Transformer Embeddings + Logistic Regression
0.4,0.660377358490566,0.875,0.8215962441314554,18,5,Transformer Embeddings + Logistic Regression
0.41,0.660377358490566,0.875,0.8215962441314554,18,5,Transformer Embeddings + Logistic Regression
0.42,0.6862745098039216,0.875,0.8293838862559242,16,5,Transformer Embeddings + Logistic Regression
0.43,0.7,0.875,0.8333333333333334,15,5,Transformer Embeddings + Logistic Regression
